,Type,fold,pc,ICC,F,df1,df2,pval,CI95
49,"ICC(A,1)",5,PC1,0.7308102572286161,6.510598512020036,197,197,3.3299139552231807e-35,[0.66 0.79]
50,"ICC(C,1)",5,PC1,0.7337096375476361,6.510598512020036,197,197,3.3299139552231807e-35,[0.66 0.79]
51,"ICC(1,k)",5,PC1,0.8441159309872107,6.415023718157858,197,198,7.250235658089486e-35,[0.79 0.88]
52,"ICC(A,k)",5,PC1,0.8444718352880506,6.510598512020036,197,197,3.3299139552231807e-35,[0.79 0.88]
53,"ICC(C,k)",5,PC1,0.8464042901503182,6.510598512020036,197,197,3.3299139552231807e-35,[0.8  0.88]
54,"ICC(1,1)",5,PC2,0.4683350000260671,2.761767278451766,197,198,1.4004818991491587e-12,[0.35 0.57]
55,"ICC(A,1)",5,PC2,0.46894432740736014,2.773739319842571,197,197,1.2428941592806178e-12,[0.35 0.57]
56,"ICC(C,1)",5,PC2,0.4700216865844793,2.773739319842571,197,197,1.2428941592806178e-12,[0.35 0.57]
57,"ICC(1,k)",5,PC2,0.6379130103385846,2.761767278451766,197,198,1.4004818991491587e-12,[0.52 0.73]
58,"ICC(A,k)",5,PC2,0.6384780126215293,2.773739319842571,197,197,1.2428941592806178e-12,[0.52 0.73]
59,"ICC(C,k)",5,PC2,0.6394758538243757,2.773739319842571,197,197,1.2428941592806178e-12,[0.52 0.73]
60,"ICC(1,1)",pooled,PC1,0.7387537007217078,6.655610837455362,991,992,1.9449714593438887e-172,[0.71 0.77]
61,"ICC(A,1)",pooled,PC1,0.7389503376363931,6.694213863241082,991,991,3.1566578591469735e-173,[0.71 0.77]
62,"ICC(C,1)",pooled,PC1,0.7400644126159592,6.694213863241082,991,991,3.1566578591469735e-173,[0.71 0.77]
63,"ICC(1,k)",pooled,PC1,0.8497508306266401,6.655610837455362,991,992,1.9449714593438887e-172,[0.83 0.87]
64,"ICC(A,k)",pooled,PC1,0.8498808984283993,6.694213863241082,991,991,3.1566578591469735e-173,[0.83 0.87]
65,"ICC(C,k)",pooled,PC1,0.8506172613499625,6.694213863241082,991,991,3.1566578591469735e-173,[0.83 0.87]
66,"ICC(1,1)",pooled,PC2,0.4803090713474118,2.848441236381468,991,992,8.77192605408502e-59,[0.43 0.53]
67,"ICC(A,1)",pooled,PC2,0.481844064055571,2.8812898961362445,991,991,6.11838618563063e-60,[0.43 0.53]
68,"ICC(C,1)",pooled,PC2,0.48470739019237796,2.8812898961362445,991,991,6.11838618563063e-60,[0.44 0.53]
69,"ICC(1,k)",pooled,PC2,0.6489307951213502,2.848441236381468,991,992,8.77192605408502e-59,[0.6  0.69]
70,"ICC(A,k)",pooled,PC2,0.6503303225264345,2.8812898961362445,991,991,6.11838618563063e-60,[0.6  0.69]
71,"ICC(C,k)",pooled,PC2,0.6529332222554277,2.8812898961362445,991,991,6.11838618563063e-60,[0.61 0.69]
